publisher_name,ads_txt_url,source_row,notes
cineverse.com,https://cineverse.com/app-ads.txt,1,
directv.com,https://directv.com/app-ads.txt,2,
dudeperfect.com,https://dudeperfect.com/ads.txt,3,
filmzie.com,https://filmzie.com/app-ads.txt,4,
fubo.tv,https://fubo.tv/app-ads.txt,5,
fuse.tv,https://fuse.tv/app-ads.txt,6,
fawesome.tv,https://fawesome.tv/app-ads.txt,7,
futuretodayinc.com,https://futuretodayinc.com/app-ads.txt,7,
ifood.tv,https://ifood.tv/app-ads.txt,8,
filmrise.com,https://filmrise.com/app-ads.txt,10,
popcornflix.com,https://popcornflix.com/app-ads.txt,11,
watchfreeflix.com,https://watchfreeflix.com/app-ads.txt,12,
videoelephant.tv,https://videoelephant.tv/app-ads.txt,13,
sportxads.com,https://sportxads.com/app-ads.txt,14,
play.works,https://play.works/app-ads.txt,15,
rumble.com,https://rumble.com/app-ads.txt,16,
s.cdntek.com,https://s.cdntek.com/samsung/ads.txt,17,
spanglishmovies.com,https://spanglishmovies.com/app-ads.txt,18,
tcl.com,https://tcl.com/ads.txt,19,
tubitv.com,https://tubitv.com/ads.txt,20,
victoryplus.com,https://victoryplus.com/app-ads.txt,21,
tv.univision.com,https://tv.univision.com/app-ads.txt,22,
vizio.com,https://vizio.com/app-ads.txt,23,
global.e.mi.com,https://global.e.mi.com/app-ads.txt,24,
xumo.com,https://xumo.com/app-ads.txt,25,
zeam.com,https://zeam.com/app-ads.txt,26,
kidoodle.tv,https://kidoodle.tv/ads.txt,27,
lgads.tv,https://lgads.tv/app-ads.txt,28,
newson.us,https://newson.us/app-ads.txt,29,
paramount.com,https://paramount.com/app-ads.txt,30,
its-newid.com,https://www.its-newid.com/ads.txt,31,
livescore.com,https://www.livescore.com/app-ads.txt,32,
res.adx.opera.com,https://res.adx.opera.com/app-ads.txt,33,
pocketfm.com,https://pocketfm.com/ADS.TXT,34,
soundcloud.com,https://soundcloud.com/ads.txt,35,
talkatone.com,https://www.talkatone.com/app-ads.txt,36,
hungrystudio.com,https://www.hungrystudio.com/app-ads.txt,37,
likee.video,https://likee.video/app-ads.txt,38,
ludotalent.com,https://ludotalent.com/app-ads.txt,39,
tiki.video,https://tiki.video/app-ads.txt,40,
imo.im,https://imo.im/app-ads.txt,41,
res.adx.opera.com,https://res.adx.opera.com/ads.txt,42,
zeam.com,https://zeam.com/ads.txt,43,
rumble.com,https://rumble.com/ads.txt,44,
cdn.getpublica.com,https://cdn.getpublica.com/ads.txt,50,
adinfo.lgads.tv,https://adinfo.lgads.tv/ads.txt,51,
cineverse.com,https://cineverse.com/ads.txt,52,
distro.tv,https://distro.tv/app-ads.txt,53,
fubo.tv,https://fubo.tv/ads.txt,54,
localnow.com,https://localnow.com/app-ads.txt,55,
plex.tv,https://plex.tv/app-ads.txt,56,
directv.com,https://www.directv.com/app-ads.txt,57,
freetv.com,https://www.freetv.com/app-ads.txt,58,
paramount.com,https://www.paramount.com/app-ads.txt,59,
philo.com,https://www.philo.com/ads.txt,60,
samsung.com,https://www.samsung.com/app-ads.txt,61,
sling.com,https://www.sling.com/app-ads.txt,62,
stremium.com,https://www.stremium.com/app-ads.txt,63,
tablotv.com,https://www.tablotv.com/app-ads.txt,64,
tcl.com,https://www.tcl.com/app-ads.txt,65,
